Altitude (km)	Density (kg/m^3)
422.0	1.908E-12
424.0	1.843E-12
426.0	1.781E-12
428.0	1.720E-12
430.0	1.662E-12
432.0	1.606E-12
434.0	1.553E-12
436.0	1.501E-12
438.0	1.450E-12
440.0	1.402E-12
442.0	1.355E-12
444.0	1.310E-12
446.0	1.267E-12
448.0	1.225E-12
450.0	1.184E-12
452.0	1.145E-12
454.0	1.108E-12
456.0	1.071E-12
458.0	1.036E-12
460.0	1.002E-12
462.0	9.694E-13
464.0	9.377E-13
466.0	9.072E-13
468.0	8.777E-13
470.0	8.492E-13
472.0	8.217E-13
474.0	7.952E-13
476.0	7.695E-13
478.0	7.447E-13
480.0	7.208E-13
482.0	6.976E-13
484.0	6.753E-13
486.0	6.537E-13
488.0	6.328E-13
490.0	6.127E-13
492.0	5.932E-13
494.0	5.743E-13
496.0	5.561E-13
498.0	5.385E-13
500.0	5.215E-13
505.0	4.814E-13
510.0	4.446E-13
515.0	4.107E-13
520.0	3.796E-13
525.0	3.509E-13
530.0	3.246E-13
535.0	3.003E-13
540.0	2.780E-13
545.0	2.574E-13
550.0	2.384E-13
555.0	2.210E-13
560.0	2.049E-13
565.0	1.900E-13
570.0	1.763E-13
575.0	1.637E-13
580.0	1.520E-13
585.0	1.413E-13
590.0	1.313E-13
595.0	1.221E-13
600.0	1.137E-13
605.0	1.058E-13
610.0	9.859E-14
615.0	9.190E-14
620.0	8.571E-14
625.0	7.998E-14
630.0	7.468E-14
635.0	6.977E-14
640.0	6.523E-14
645.0	6.102E-14
650.0	5.712E-14
655.0	5.350E-14
660.0	5.015E-14
665.0	4.704E-14
670.0	4.416E-14
675.0	4.148E-14
680.0	3.900E-14
685.0	3.669E-14
690.0	3.454E-14
695.0	3.255E-14
700.0	3.070E-14
705.0	2.897E-14
710.0	2.736E-14
715.0	2.587E-14
720.0	2.448E-14
725.0	2.318E-14
730.0	2.197E-14
735.0	2.084E-14
740.0	1.979E-14
745.0	1.880E-14
750.0	1.788E-14
755.0	1.702E-14
760.0	1.622E-14
765.0	1.547E-14
770.0	1.476E-14
775.0	1.410E-14
780.0	1.348E-14
785.0	1.290E-14
790.0	1.235E-14
795.0	1.184E-14
800.0	1.136E-14
805.0	1.091E-14
810.0	1.048E-14
815.0	1.008E-14
820.0	9.697E-15
825.0	9.339E-15
830.0	9.001E-15
835.0	8.682E-15
840.0	8.380E-15
845.0	8.094E-15
850.0	7.824E-15
855.0	7.567E-15
860.0	7.324E-15
865.0	7.093E-15
870.0	6.873E-15
875.0	6.664E-15
880.0	6.465E-15
